Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
EMU,FLAT FILLET,RAW;EMU,FLAT FILLET,RAW 1 flat fillet;0;71;102;2225;1 flat fillet
EMU,FULL RUMP,RAW;EMU,FULL RUMP,RAW 1 full rump;0;85;112;2283;1 full rump
EMU,FULL RUMP,CKD,BRLD;EMU,FULL RUMP,CKD,BRLD 1 full rump, cooked ( yield from 695 g raw meat );0;129;168;3367;1 full rump, cooked ( yield from 695 g raw meat )
EMU,INSIDE DRUM,RAW;EMU,INSIDE DRUM,RAW 1 inside drum;0;67;108;2222;1 inside drum
EMU,INSIDE DRUMS,CKD,BRLD;EMU,INSIDE DRUMS,CKD,BRLD 1 inside drum, cooked ( yield from 572 g raw meat );0;91;156;3238;1 inside drum, cooked ( yield from 572 g raw meat )
EMU,OUTSIDE DRUM,RAW;EMU,OUTSIDE DRUM,RAW 1 outside drum;0;78;103;2308;1 outside drum
EMU,OYSTER,RAW;EMU,OYSTER,RAW 1 steak;0;81;141;2281;1 steak
EMU,TOP LOIN,CKD,BRLD;EMU,TOP LOIN,CKD,BRLD 1 steak;0;88;152;2907;1 steak
OSTRICH,GROUND,RAW;OSTRICH,GROUND,RAW 1 patty;0;71;165;2022;1 patty
OSTRICH,GROUND,CKD,PAN-BROILED;OSTRICH,GROUND,CKD,PAN-BROILED 1 patty;0;83;175;2615;1 patty
OSTRICH,FAN,RAW;OSTRICH,FAN,RAW ;0;73;117;2181;
OSTRICH,INSIDE LEG,RAW;OSTRICH,INSIDE LEG,RAW 1 serving,  ( 3 oz );0;66;111;2239;1 serving,  ( 3 oz )
OSTRICH,INSIDE LEG,CKD;OSTRICH,INSIDE LEG,CKD 1 serving,  ( 3 oz );0;73;141;2901;1 serving,  ( 3 oz )
OSTRICH,INSIDE STRIP,RAW;OSTRICH,INSIDE STRIP,RAW ;0;73;127;2369;
OSTRICH,INSIDE STRIP,CKD;OSTRICH,INSIDE STRIP,CKD 1 serving,  ( 3 oz );0;97;164;2937;1 serving,  ( 3 oz )
OSTRICH,OUTSIDE LEG,RAW;OSTRICH,OUTSIDE LEG,RAW ;0;65;115;2286;
OSTRICH,OUTSIDE STRIP,RAW;OSTRICH,OUTSIDE STRIP,RAW ;0;79;120;2336;
OSTRICH,OUTSIDE STRIP,CKD;OSTRICH,OUTSIDE STRIP,CKD 1 serving,  ( 3 oz );0;93;156;2855;1 serving,  ( 3 oz )
OSTRICH,OYSTER,RAW;OSTRICH,OYSTER,RAW ;0;73;125;2155;
OSTRICH,OYSTER,CKD;OSTRICH,OYSTER,CKD 1 serving,  ( 3 oz );0;90;159;2881;1 serving,  ( 3 oz )
OSTRICH,RND,RAW;OSTRICH,RND,RAW ;0;71;116;2199;
OSTRICH,TENDERLOIN,RAW;OSTRICH,TENDERLOIN,RAW ;0;80;123;2207;
OSTRICH,TIP RAW;OSTRICH,TIP RAW ;0;72;114;2185;
OSTRICH,TIP CKD;OSTRICH,TIP CKD 1 serving,  ( 3 oz );0;85;145;2849;1 serving,  ( 3 oz )
OSTRICH,TOP LOIN,RAW;OSTRICH,TOP LOIN,RAW ;0;75;119;2167;
OSTRICH,TOP LOIN,CKD;OSTRICH,TOP LOIN,CKD 1 serving,  ( 3 oz );0;93;155;2812;1 serving,  ( 3 oz )
CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED;CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED ;111;564;172;2578;
SOUP,CRM OF ASPARAGUS,CND,COND;SOUP,CRM OF ASPARAGUS,CND,COND .5 cup,  (4 fl oz);852;4;69;182;.5 cup,  (4 fl oz)
SOUP,BLACK BEAN,CND,COND;SOUP,BLACK BEAN,CND,COND 1 cup,  (8 fl oz);1542;0;91;483;1 cup,  (8 fl oz)
CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND;CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND 1 serving, 1/2 cup;476;4;40;238;1 serving, 1/2 cup
SOUP,BEAN W/ PORK,CND,COND;SOUP,BEAN W/ PORK,CND,COND 1 can, 11.5 oz;1697;2;129;588;1 can, 11.5 oz
SOUP,BEAN W/ FRANKFURTERS,CND,COND;SOUP,BEAN W/ FRANKFURTERS,CND,COND 1 cup,  (8 fl oz);1675;9;142;76;1 cup,  (8 fl oz)
SOUP,BEAN W/ HAM,CND,CHUNKY,RTS;SOUP,BEAN W/ HAM,CND,CHUNKY,RTS 1 cup,  (8 fl oz);1116;9;95;519;1 cup,  (8 fl oz)
SOUP,BF BROTH OR BOUILLON CND,RTS;SOUP,BF BROTH OR BOUILLON CND,RTS 1 cup;4;0;7;114;1 cup
SOUP,BF NOODLE,CND,COND;SOUP,BF NOODLE,CND,COND .5 cup;716;4;67;385;.5 cup
SOUP,CRM OF CELERY,CND,COND;SOUP,CRM OF CELERY,CND,COND .5 cup;703;11;72;132;.5 cup
SOUP,CHS,CND,COND;SOUP,CHS,CND,COND .5 cup;819;23;121;422;.5 cup
SOUP,CHICK W/ DUMPLINGS,CND,COND;SOUP,CHICK W/ DUMPLINGS,CND,COND .5 cup,  (4 fl oz);493;27;79;458;.5 cup,  (4 fl oz)
SOUP,CHICK BROTH,CND,COND;SOUP,CHICK BROTH,CND,COND .5 cup,  (4 fl oz);75;1;31;442;.5 cup,  (4 fl oz)
CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND;CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND 1 serving, 1/2 cup;968;4;81;161;1 serving, 1/2 cup
SOUP,CHICK,CND,CHUNKY,RTS;SOUP,CHICK,CND,CHUNKY,RTS 1 cup;688;12;71;506;1 cup
SOUP,CRM OF CHICK,CND,COND;SOUP,CRM OF CHICK,CND,COND .5 cup,  (4 fl oz);716;8;90;238;.5 cup,  (4 fl oz)
SOUP,CHICK GUMBO,CND,COND;SOUP,CHICK GUMBO,CND,COND .5 cup,  (4 fl oz);667;3;45;21;.5 cup,  (4 fl oz)
SOUP,CHUNKY CHICK NOODLE,CND,RTS;SOUP,CHUNKY CHICK NOODLE,CND,RTS 1 cup;40;5;37;327;1 cup
SOUP,CHICK NOODLE,CND,COND;SOUP,CHICK NOODLE,CND,COND .5 cup;603;11;52;259;.5 cup
SOUP,CHICK RICE,CND,CHUNKY,RTS;SOUP,CHICK RICE,CND,CHUNKY,RTS 1 cup;541;5;53;511;1 cup
SOUP,CHICK W/ RICE,CND,COND;SOUP,CHICK W/ RICE,CND,COND .5 cup;584;5;49;289;.5 cup
SOUP,CHICK VEG,CHUNKY,CND,RTS;SOUP,CHICK VEG,CHUNKY,CND,RTS 1 cup,  (8 fl oz);787;7;69;513;1 cup,  (8 fl oz)
SOUP,CHICK VEG,CND,COND;SOUP,CHICK VEG,CND,COND .5 cup;701;7;61;294;.5 cup
SOUP,CHILI BF,CND,COND;SOUP,CHILI BF,CND,COND 1 cup,  (8 fl oz);1886;10;117;509;1 cup,  (8 fl oz)
SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS;SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS 1 cup,  (8 fl oz);784;6;56;302;1 cup,  (8 fl oz)
SOUP,CLAM CHOWDER,MANHATTAN,CND,COND;SOUP,CLAM CHOWDER,MANHATTAN,CND,COND .5 cup,  (4 fl oz);974;2;61;174;.5 cup,  (4 fl oz)
CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK W/ RICE,COND;CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK W/ RICE,COND .5 cup;719;4;58;159;.5 cup
SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND;SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND .5 cup;1032;6;72;317;.5 cup
SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND;SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND .5 cup;84;0;13;252;.5 cup
SOUP,CRAB,CND,RTS;SOUP,CRAB,CND,RTS 1 cup,  (8 fl oz);422;4;31;225;1 cup,  (8 fl oz)
SOUP,ESCAROLE,CND,RTS;SOUP,ESCAROLE,CND,RTS 1 cup,  (8 fl oz);72;1;11;62;1 cup,  (8 fl oz)
SOUP,GAZPACHO,CND,RTS;SOUP,GAZPACHO,CND,RTS 1 cup,  (8 fl oz);18;0;19;29;1 cup,  (8 fl oz)
SOUP,LENTIL W/HAM,CND,RTS;SOUP,LENTIL W/HAM,CND,RTS 1 cup,  (8 fl oz);816;3;56;374;1 cup,  (8 fl oz)
CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND;CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND 1 serving, 1/2 cup;968;4;89;161;1 serving, 1/2 cup
SOUP,MINESTRONE,CND,CHUNKY,RTS;SOUP,MINESTRONE,CND,CHUNKY,RTS 1 cup;864;2;53;213;1 cup
SOUP,MINESTRONE,CND,COND;SOUP,MINESTRONE,CND,COND .5 cup,  (4 fl oz);917;1;68;348;.5 cup,  (4 fl oz)
CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND;CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND 1 serving, 1/2 cup;794;8;56;238;1 serving, 1/2 cup
SOUP,MUSHROOM BARLEY,CND,COND;SOUP,MUSHROOM BARLEY,CND,COND .5 cup,  (4 fl oz);96;0;61;15;.5 cup,  (4 fl oz)
SOUP,CRM OF MUSHROOM,CND,COND;SOUP,CRM OF MUSHROOM,CND,COND .5 cup;672;0;85;161;.5 cup
SOUP,MUSHROOM W/ BF STOCK,CND,COND;SOUP,MUSHROOM W/ BF STOCK,CND,COND .5 cup,  (4 fl oz);741;6;68;251;.5 cup,  (4 fl oz)
SOUP,ONION,CND,COND;SOUP,ONION,CND,COND .5 cup,  (4 fl oz);668;0;46;306;.5 cup,  (4 fl oz)
SOUP,CRM OF ONION,CND,COND;SOUP,CRM OF ONION,CND,COND .5 cup;104;12;88;22;.5 cup
CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND;CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND 1 serving, 1/2 cup;794;4;56;238;1 serving, 1/2 cup
SOUP,OYSTER STEW,CND,COND;SOUP,OYSTER STEW,CND,COND .5 cup,  (4 fl oz);332;11;48;172;.5 cup,  (4 fl oz)
SOUP,PEA,GRN,CND,COND;SOUP,PEA,GRN,CND,COND .5 cup;2018;0;125;654;.5 cup
SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS;SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS 1 cup;1117;3;77;462;1 cup
SOUP,PEA,SPLIT W/ HAM,CND,COND;SOUP,PEA,SPLIT W/ HAM,CND,COND .5 cup,  (4 fl oz);2081;6;141;768;.5 cup,  (4 fl oz)
SOUP,PEPPERPOT,CND,COND;SOUP,PEPPERPOT,CND,COND .5 cup,  (4 fl oz);766;8;84;519;.5 cup,  (4 fl oz)
SOUP,CRM OF POTATO,CND,COND;SOUP,CRM OF POTATO,CND,COND .5 cup,  (4 fl oz);914;5;59;139;.5 cup,  (4 fl oz)
CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND;CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND 1 serving, 1/2 cup;873;8;56;317;1 serving, 1/2 cup
SOUP,SCOTCH BROTH,CND,COND;SOUP,SCOTCH BROTH,CND,COND .5 cup,  (4 fl oz);773;4;66;405;.5 cup,  (4 fl oz)
SOUP,CRM OF SHRIMP,CND,COND;SOUP,CRM OF SHRIMP,CND,COND .5 cup,  (8 fl oz);653;13;72;222;.5 cup,  (8 fl oz)
CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND;CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND 1 serving, 1/2 cup;81;4;16;81;1 serving, 1/2 cup
CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND;CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND 1 serving, 1/2 cup;794;4;48;159;1 serving, 1/2 cup
SOUP,STOCKPOT,CND,COND;SOUP,STOCKPOT,CND,COND .5 cup,  (4 fl oz);895;3;78;379;.5 cup,  (4 fl oz)
SOUP,TOMATO BF W/ NOODLE,CND,COND;SOUP,TOMATO BF W/ NOODLE,CND,COND 1 cup,  (8 fl oz);1687;3;112;355;1 cup,  (8 fl oz)
CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND;CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND 1 serving, 1/2 cup;635;12;48;238;1 serving, 1/2 cup
SOUP,TOMATO RICE,CND,COND;SOUP,TOMATO RICE,CND,COND .5 cup,  (4 fl oz);1708;1;93;164;.5 cup,  (4 fl oz)
SOUP,TURKEY,CHUNKY,CND,RTS;SOUP,TURKEY,CHUNKY,CND,RTS 1 cup,  (8 fl oz);596;4;57;433;1 cup,  (8 fl oz)
SOUP,TURKEY NOODLE,CND,COND;SOUP,TURKEY NOODLE,CND,COND .5 cup,  (4 fl oz);688;4;55;311;.5 cup,  (4 fl oz)
SOUP,TURKEY VEG,CND,COND;SOUP,TURKEY VEG,CND,COND .5 cup,  (4 fl oz);705;1;60;252;.5 cup,  (4 fl oz)
SOUP,CHUNKY VEG,CND,RTS;SOUP,CHUNKY VEG,CND,RTS 1 cup;792;0;51;146;1 cup
SOUP,VEGETARIAN VEG,CND,COND;SOUP,VEGETARIAN VEG,CND,COND .5 cup;978;0;59;172;.5 cup
SOUP,PEA,GRN,CND,COND,PREP W/ EQ VOLUME H2O;SOUP,PEA,GRN,CND,COND,PREP W/ EQ VOLUME H2O 1 serving;988;0;62;32;1 serving
SOUP,CHUNKY BF,CND,RTS;SOUP,CHUNKY BF,CND,RTS 1 cup;1008;6;66;397;1 cup
SOUP,VEG BF,CND,COND;SOUP,VEG BF,CND,COND .5 cup;811;4;63;445;.5 cup
SOUP,VEG W/ BF BROTH,CND,COND;SOUP,VEG W/ BF BROTH,CND,COND .5 cup;107;1;66;242;.5 cup
SOUP,BF BROTH OR BOUILLON,PDR,DRY;SOUP,BF BROTH OR BOUILLON,PDR,DRY 1 cube;2365;10;238;1597;1 cube
SOUP,BEEF BROTH,CUBED,DRY;SOUP,BEEF BROTH,CUBED,DRY 1 cube;161;4;170;173;1 cube
SOUP,BF NOODLE,DRY,MIX;SOUP,BF NOODLE,DRY,MIX 1 packet;4864;13;324;1793;1 packet
SOUP,CHICK BROTH OR BOUILLON,DRY;SOUP,CHICK BROTH OR BOUILLON,DRY 1 cube;1801;13;267;1666;1 cube
SOUP,CHICK BROTH CUBES,DRY;SOUP,CHICK BROTH CUBES,DRY 1 cube;235;13;198;146;1 cube
CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND;CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND 1 serving, 1/2 cup;952;8;63;317;1 serving, 1/2 cup
CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND;CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND 1 serving, 1/2 cup;119;4;63;238;1 serving, 1/2 cup
CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND;CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND 1 serving, 1/2 cup;81;0;12;242;1 serving, 1/2 cup
SOUP,ONION,DRY,MIX;SOUP,ONION,DRY,MIX 1 serving, 1 tbsp;6507;0;293;748;1 serving, 1 tbsp
CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND;CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND 1 serving, 1/2 cup;81;0;16;323;1 serving, 1/2 cup
SOUP,TOMATO VEG,DRY,MIX;SOUP,TOMATO VEG,DRY,MIX 1 tbsp;599;3;325;1173;1 tbsp
SOUP,CRM OF VEG,DRY,PDR;SOUP,CRM OF VEG,DRY,PDR 1 packet;521;2;446;80;1 packet
SAUCE,CHS,DRY,PDR;SAUCE,CHS,DRY,PDR 1 packet;3366;51;448;2269;1 packet
CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND;CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND 1 serving, 1/2 cup;794;4;56;238;1 serving, 1/2 cup
SAUCE,TERIYAKI,RTS;SAUCE,TERIYAKI,RTS 1 cup;1556;0;89;593;1 cup
GRAVY,AU JUS,CANNED;GRAVY,AU JUS,CANNED 1 cup;25;0;16;12;1 cup
GRAVY,AU JUS,DRY;GRAVY,AU JUS,DRY 1 tsp;4749;4;313;92;1 tsp
GRAVY,BF,CND,RTS;GRAVY,BF,CND,RTS 1 cup;481;3;53;375;1 cup
CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND;CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND 1 serving, 1/2 cup;1953;4;133;625;1 serving, 1/2 cup
GRAVY,BROWN,DRY;GRAVY,BROWN,DRY 1 tbsp;5938;3;367;1074;1 tbsp
GRAVY,CHICK,CND,RTS;GRAVY,CHICK,CND,RTS 1 cup;542;2;79;193;1 cup
GRAVY,CHICKEN,DRY;GRAVY,CHICKEN,DRY 1 tbsp;6209;19;381;1127;1 tbsp
GRAVY,MUSHROOM,CANNED;GRAVY,MUSHROOM,CANNED 1 cup;547;0;50;126;1 cup
GRAVY,MUSHROOM,DRY,PDR;GRAVY,MUSHROOM,DRY,PDR 1 cup,  (8 fl oz);6466;3;328;100;1 cup,  (8 fl oz)
GRAVY,ONION,DRY,MIX;GRAVY,ONION,DRY,MIX 1 cup,  (8 fl oz);6764;2;322;90;1 cup,  (8 fl oz)
GRAVY,PORK,DRY,PDR;GRAVY,PORK,DRY,PDR 1 serving;6357;10;367;878;1 serving
GRAVY,TURKEY,CND,RTS;GRAVY,TURKEY,CND,RTS 1 cup;51;2;51;26;1 cup
GRAVY,TURKEY,DRY;GRAVY,TURKEY,DRY 1 serving;6512;14;367;1042;1 serving
GRAVY,UNSPEC TYPE,DRY;GRAVY,UNSPEC TYPE,DRY 1 cup,  (8 fl oz);580;4;344;130;1 cup,  (8 fl oz)
SOUP,CHICK NOODLE,DRY,MIX;SOUP,CHICK NOODLE,DRY,MIX 1 packet;6232;74;377;1542;1 packet
SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND;SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND 1 cup, sauce;417;0;571;748;1 cup, sauce
SAUCE,SOFRITO,PREP FROM RECIPE;SAUCE,SOFRITO,PREP FROM RECIPE .5 cup;546;0;237;128;.5 cup
USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND;USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND ;87;0;48;12;
CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND;CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND 1 serving, 1/2 cup;635;8;56;317;1 serving, 1/2 cup
CAMPBELL,CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND;CAMPBELL,CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND 1 serving, 1/2 cup;119;8;71;397;1 serving, 1/2 cup
SOUP,BF MUSHROOM,CND,COND;SOUP,BF MUSHROOM,CND,COND .5 cup,  (4 fl oz);52;5;61;46;.5 cup,  (4 fl oz)
SOUP,CHICK MUSHROOM,CND,COND;SOUP,CHICK MUSHROOM,CND,COND .5 cup,  (4 fl oz);76;8;109;35;.5 cup,  (4 fl oz)
SAUCE,BARBECUE;SAUCE,BARBECUE 1 serving, 2 tbsp;3625;0;150;0;1 serving, 2 tbsp
SAUCE,PLUM,READY-TO-SERVE;SAUCE,PLUM,READY-TO-SERVE 1 cup;4281;0;184;89;1 cup
SAUCE,PIZZA,CND,RTS;SAUCE,PIZZA,CND,RTS .25 cup;867;3;54;218;.25 cup
SOUP,TOMATO BISQUE,CND,COND;SOUP,TOMATO BISQUE,CND,COND .5 cup,  (4 fl oz);1847;4;96;176;.5 cup,  (4 fl oz)
SOUP,TOMATO,CND,COND;SOUP,TOMATO,CND,COND .5 cup;1341;0;60;161;.5 cup
SAUCE,SALSA,RTS;SAUCE,SALSA,RTS 1 cup;626;0;27;154;1 cup
SAUCE,HOMEMADE,WHITE,THIN;SAUCE,HOMEMADE,WHITE,THIN 1 cup;74;8;105;377;1 cup
SAUCE,HOMEMADE,WHITE,MED;SAUCE,HOMEMADE,WHITE,MED 1 cup;917;7;147;384;1 cup
SAUCE,HOMEMADE,WHITE,THICK;SAUCE,HOMEMADE,WHITE,THICK 1 cup;1161;6;186;399;1 cup
SAUCE,RTS,PEPPER OR HOT;SAUCE,RTS,PEPPER OR HOT 1 tsp;175;0;11;51;1 tsp
SAUCE,RTS,PEPPER,TABASCO;SAUCE,RTS,PEPPER,TABASCO 1 tsp;8;0;12;129;1 tsp
SOUP,STOCK,BEEF,HOME-PREPARED;SOUP,STOCK,BEEF,HOME-PREPARED 1 cup;12;0;13;197;1 cup
SOUP,STOCK,CHICK,HOME-PREPARED;SOUP,STOCK,CHICK,HOME-PREPARED 1 cup;353;3;36;252;1 cup
SOUP,STOCK,FISH,HOME-PREPARED;SOUP,STOCK,FISH,HOME-PREPARED 1 cup;0;1;17;226;1 cup
SAUCE,HOISIN,RTS;SAUCE,HOISIN,RTS 1 tbsp;4408;3;220;331;1 tbsp
SAUCE,OYSTER,RTS;SAUCE,OYSTER,RTS 1 tbsp;1092;0;51;135;1 tbsp
SOUP,MINESTRONE,CND,RED NA,RTS;SOUP,MINESTRONE,CND,RED NA,RTS ;90;0;50;20;
USDA COMMODITY,SALSA;USDA COMMODITY,SALSA ;70;0;36;15;
SAUCE,FISH,READY-TO-SERVE;SAUCE,FISH,READY-TO-SERVE 1 tbsp;364;0;35;506;1 tbsp
SOUP,SHARK FIN,REST-PREP;SOUP,SHARK FIN,REST-PREP 1 cup;38;2;46;32;1 cup
SOUP,CRM OF MUSHROOM,CND,COND,RED NA;SOUP,CRM OF MUSHROOM,CND,COND,RED NA 1 cup;81;3;52;121;1 cup
SOUP,CHICK BROTH,CND,LESS/REDUCED NA;SOUP,CHICK BROTH,CND,LESS/REDUCED NA 1 cup;38;0;7;136;1 cup
SAUCE,TERIYAKI,RTS,RED NA;SAUCE,TERIYAKI,RTS,RED NA ;1558;0;89;593;
SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS;SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS ;1366;2;74;419;
SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE;SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE 1 cup;1183;2;71;385;1 cup
SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS;SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS ;114;3;68;40;
SOUP,CHICK BROTH,CND,RTS;SOUP,CHICK BROTH,CND,RTS ;4;0;7;10;
CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND;CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND 1 serving, 1/2 cup;968;4;65;161;1 serving, 1/2 cup
SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK;SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK 1 cup,  (8 fl oz);661;9;65;255;1 cup,  (8 fl oz)
SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS;SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS ;52;7;65;116;
CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND;CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND 1 serving, 1/2 cup;806;4;56;161;1 serving, 1/2 cup
SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK;SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK 1 cup,  (8 fl oz);586;13;66;229;1 cup,  (8 fl oz)
SOUP,CHS,CND,PREP W/ EQ VOLUME MILK;SOUP,CHS,CND,PREP W/ EQ VOLUME MILK 1 cup;647;19;92;377;1 cup
CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CHIC NOODL,COND;CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CHIC NOODL,COND 1 serving, 1/2 cup;635;12;48;238;1 serving, 1/2 cup
CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND;CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND 1 serving, 1/2 cup;1613;0;73;161;1 serving, 1/2 cup
CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND;CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND 1 serving, 1/2 cup;726;4;89;81;1 serving, 1/2 cup
CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND;CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND 1 serving, 1/2 cup;952;4;56;238;1 serving, 1/2 cup
SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK;SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK 1 cup,  (8 fl oz);604;11;77;301;1 cup,  (8 fl oz)
SOUP,VEG,CND,LO NA,COND;SOUP,VEG,CND,LO NA,COND ;1211;0;65;22;
CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CELERY SOUP,COND;CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CELERY SOUP,COND 1 serving, 1/2 cup;645;4;48;81;1 serving, 1/2 cup
CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CHICK SOUP,COND;CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CHICK SOUP,COND 1 serving, 1/2 cup;806;8;56;161;1 serving, 1/2 cup
CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS;CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS 1 serving, 1/2 cup;1308;0;85;154;1 serving, 1/2 cup
CAMPBELL,PREGO PASTA,CHUNKY GARDEN MUSHROOM ITALIAN SAU,RTS;CAMPBELL,PREGO PASTA,CHUNKY GARDEN MUSHROOM ITALIAN SAU,RTS 1 serving, 1/2 cup;100;0;69;154;1 serving, 1/2 cup
CAMPBELL SOUP,PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS;CAMPBELL SOUP,PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS 1 serving, 1/2 cup;1385;0;92;154;1 serving, 1/2 cup
CAMPBELL SOUP COMPANY,PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS;CAMPBELL SOUP COMPANY,PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS 1 serving, 1/2 cup;1462;4;100;154;1 serving, 1/2 cup
