Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
ALCOHOLIC BEV.WINE.TABLE.WHITE.PINOT GRIS (GRIGIO),83,02.06,0.07,0,29.3
ALCOHOLIC BEV.WINE.TABLE.WHITE.RIESLING,80,3.74,0.07,0,29.58
ALCOHOLIC BEV.WINE.TABLE.WHITE.SAUVIGNON BLANC,81,02.05,0.07,0,29.35
ALCOHOLIC BEV.WINE.TABLE.WHITE.SEMILLON,82,3.12,0.07,0,29.5
ALFALFA SEEDS.SPROUTED.RAW,23,2.1,3.99,0.69,33
ALLSPICE.GROUND,263,72.12,06.09,8.69,6
ALMOND BUTTER.PLN.W/SALT,633,21.22,15.08,59.1,250
ALMOND BUTTER.PLN.WO/SALT,633,21.22,15.08,59.1,250
ALMOND PASTE,458,47.81,9,27.74,227
ALMONDS,575,21.67,21.22,49.42,95
ALMONDS.BLANCHED,581,19.94,21.94,50.62,145
ALMONDS.DRY RSTD.W/SALT,597,19.29,22.09,52.83,138
ALMONDS.DRY RSTD.WO/SALT,597,19.29,22.09,52.83,138
ALMONDS.HONEY RSTD.UNBLANCHED,594,27.9,18.17,49.9,144
ALMONDS.OIL RSTD.W/SALT,607,17.68,21.23,55.17,157
ALMONDS.OIL RSTD.WO/SALT,607,17.68,21.23,55.17,157
AMARANTH FLAKES,353,71.15,15.54,7,38
AMARANTH GRAIN.CKD,102,18.69,3.8,1.58,246.02
AMARANTH LEAVES.CKD.BLD.DRND.W/SALT,21,4.11,2.11,0.18,132
AMARANTH LEAVES.CKD.BLD.DRND.WO/SALT,21,4.11,2.11,0.18,132
AMARANTH LEAVES.RAW,23,04.02,2.46,0.33,28
AMARANTH.UNCKD,371,65.25,13.56,07.02,193.02
ANCHOVY.EUROPEAN.CND IN OIL.DRND SOL,210,0,28.89,9.71,28.35
ANCHOVY.EUROPEAN.RAW,131,0,20.35,4.84,85
ANIMAL FAT.BACON GREASE,896,0,0,99.5,4.3
ANISE SEED,337,50.02,17.6,15.9,6.7
APPLE CIDER-FLAVORED DRK.PDR.LO CAL.W/ VIT C.PREP,1,0.3,0,0,240
